"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"1996","Ellis Burks","Rockies","156","613","685","211","118","45","8","40","142","128","61","114","32","6",".344",".408",".639","1.047","7.2","372"
"1936","Paul Waner","Pirates","148","585","666","218","151","53","9","5","107","94","74","29","7","",".373",".446",".520",".965","7.1","1013597"
"1994","Barry Bonds","Giants","112","391","474","122","66","18","1","37","89","81","74","43","29","9",".312",".426",".647","1.073","6.0","1109"
"1999","Jeff Bagwell","Astros","162","562","729","171","94","35","0","42","143","126","149","127","30","11",".304",".454",".591","1.045","7.8","547"
"1949","Jackie Robinson","Dodgers","156","593","704","203","137","38","12","16","122","124","86","27","37","",".342",".432",".528",".960","9.6","1011070"
"2003","Javy Lopez","Braves","129","457","495","150","75","29","3","43","89","109","33","90","0","1",".328",".378",".687","1.065","6.8","103"
"2019","Christian Yelich","Brewers","130","489","580","161","85","29","3","44","100","97","80","118","30","2",".329",".429",".671","1.100","7.8","11477"
"2004","Albert Pujols","Cardinals","154","592","692","196","97","51","2","46","133","123","84","52","5","5",".331",".415",".657","1.072","7.8","1177"
"1953","Roy Campanella","Dodgers","144","519","590","162","92","26","3","41","103","142","67","58","4","2",".312",".395",".611","1.006","7.7","1001871"
"1950","Ralph Kiner","Pirates","150","547","672","149","75","21","6","47","112","118","122","79","2","",".272",".408",".590",".998","5.0","1006923"
"1972","Billy Williams","Cubs","150","574","650","191","114","34","6","37","95","122","62","59","3","1",".333",".398",".606","1.005","6.5","1013975"
"1947","Whitey Kurowski","Cardinals","146","513","614","159","99","27","6","27","108","104","87","56","4","",".310",".420",".544",".964","5.9","1007215"
"1970","Bernie Carbo","Reds","125","365","467","113","70","19","3","21","54","63","94","77","10","4",".310",".454",".551","1.004","5.6","1001935"
"1951","Roy Campanella","Dodgers","143","505","562","164","97","33","1","33","90","108","53","51","1","2",".325",".393",".590",".983","7.1","1001871"
"1959","Hank Aaron","Braves","154","629","693","223","131","46","7","39","116","123","51","54","8","0",".355",".401",".636","1.037","8.2","1000001"
"1987","Kal Daniels","Reds","108","368","430","123","72","24","1","26","73","64","60","62","26","8",".334",".429",".617","1.046","4.4","1002973"
"2001","Lance Berkman","Astros","156","577","688","191","97","55","5","34","110","126","92","121","7","9",".331",".430",".620","1.051","6.8","548"
"2000","Vladimir Guerrero","Expos","154","571","641","197","114","28","11","44","101","123","58","74","9","10",".345",".410",".664","1.074","6.2","778"
"1957","Willie Mays","Giants","152","585","668","195","114","26","20","35","112","97","76","62","38","19",".333",".407",".626","1.033","8.4","1008315"
"1957","Stan Musial","Cardinals","134","502","579","176","106","38","3","29","82","102","66","34","1","1",".351",".422",".612","1.034","6.1","1009405"
"1931","Chuck Klein","Phillies","148","594","656","200","125","34","10","31","121","121","59","49","7","",".337",".398",".584",".982","4.6","1006991"
"2012","Joey Votto","Reds","111","374","475","126","68","44","0","14","59","56","94","85","5","3",".337",".474",".567","1.041","5.3","4314"
"1941","Pete Reiser","Dodgers","137","536","601","184","114","39","17","14","117","76","46","71","4","",".343",".406",".558",".964","7.5","1010814"
"1937","Gabby Hartnett","Cubs","110","356","405","126","87","21","6","12","47","82","43","19","0","",".354",".424",".548",".971","4.7","1005458"
"1934","Paul Waner","Pirates","146","599","677","217","155","32","16","14","122","90","68","24","8","",".362",".429",".539",".968","6.3","1013597"
"2010","Joey Votto","Reds","150","547","648","177","102","36","2","37","106","113","91","125","16","5",".324",".424",".600","1.024","6.9","4314"
"1932","Lefty O'Doul","Dodgers","148","595","657","219","158","32","8","21","120","90","50","20","11","",".368",".423",".555",".978","6.6","1009734"
"1941","Dolph Camilli","Dodgers","149","529","641","151","82","29","6","34","92","120","104","115","3","",".285",".407",".556",".962","6.9","1001860"
"1950","Andy Pafko","Cubs","146","514","595","156","88","24","8","36","95","92","69","32","4","",".304",".397",".591",".989","6.3","1009948"
"1966","Dick Allen","Phillies","141","524","599","166","91","25","10","40","112","110","68","136","10","6",".317",".396",".632","1.027","7.4","1000137"
"1931","Chick Hafey","Cardinals","122","450","494","157","98","35","8","16","94","95","39","43","11","",".349",".404",".569",".973","4.7","1005191"
